Time(s), Pan(degree), ToF(mm)
608.19,67.0,8191.0
608.39,68.0,8190.0
608.59,69.0,8190.0
608.8,70.0,8191.0
609.0,71.0,8190.0
609.2,72.0,172.0
609.4,73.0,159.0
609.6,74.0,177.0
609.81,75.0,8190.0
610.01,76.0,159.0
610.21,77.0,159.0
610.41,78.0,133.0
610.61,79.0,142.0
610.81,80.0,122.0
611.02,81.0,125.0
611.22,82.0,126.0
611.42,83.0,127.0
611.62,84.0,119.0
611.82,85.0,119.0
612.02,86.0,122.0
612.23,87.0,110.0
612.43,88.0,137.0
612.63,89.0,133.0
612.83,90.0,148.0
613.03,91.0,165.0
613.23,90.0,174.0
613.44,89.0,128.0
613.64,88.0,131.0
613.84,87.0,133.0
614.04,86.0,122.0
614.24,85.0,123.0
614.44,84.0,120.0
614.65,83.0,104.0
614.85,82.0,113.0
615.05,81.0,116.0
615.25,80.0,118.0
615.45,79.0,128.0
615.65,78.0,134.0
615.85,77.0,145.0
616.06,76.0,145.0
616.26,75.0,141.0
616.46,74.0,144.0
616.66,73.0,165.0
616.86,72.0,206.0
617.07,71.0,8190.0
617.27,70.0,8190.0
617.47,69.0,8190.0
617.67,68.0,8190.0
617.87,67.0,8190.0
618.07,66.0,8191.0
618.28,65.0,8191.0
618.48,64.0,8190.0
618.68,63.0,8191.0
618.88,62.0,8191.0
619.08,61.0,8191.0
619.28,60.0,8190.0
619.49,59.0,723.0
619.69,58.0,8191.0
619.89,57.0,8190.0
620.09,56.0,202.0
620.29,55.0,185.0
620.49,54.0,163.0
620.7,53.0,149.0
620.9,52.0,145.0
621.1,51.0,133.0
621.3,50.0,125.0
621.5,49.0,117.0
621.7,48.0,111.0
621.91,47.0,115.0
622.11,46.0,103.0
622.31,45.0,102.0
622.51,44.0,100.0
622.71,43.0,100.0
622.91,42.0,100.0
623.12,41.0,99.0
623.32,40.0,99.0
623.52,39.0,103.0
623.72,38.0,101.0
623.92,37.0,102.0
624.12,36.0,105.0
624.33,35.0,102.0
624.53,34.0,104.0
624.73,33.0,103.0
624.93,32.0,106.0
625.13,31.0,101.0
625.33,30.0,103.0
625.54,29.0,102.0
625.74,28.0,102.0
625.94,27.0,102.0
626.14,26.0,103.0
626.34,25.0,104.0
626.54,24.0,104.0
626.75,23.0,105.0
626.95,22.0,104.0
627.15,21.0,105.0
627.35,20.0,104.0
627.55,19.0,106.0
627.75,18.0,106.0
627.96,17.0,106.0
628.16,16.0,107.0
628.36,15.0,108.0
628.56,14.0,109.0
628.76,13.0,108.0
628.96,12.0,110.0
629.16,11.0,109.0
629.37,10.0,111.0
629.57,9.0,111.0
629.77,8.0,111.0
629.97,7.0,111.0
630.17,6.0,109.0
630.38,5.0,110.0
630.58,4.0,113.0
630.78,3.0,117.0
630.98,2.0,113.0
631.18,1.0,118.0
631.38,0.0,122.0
631.58,-1.0,125.0
631.79,0.0,123.0
631.99,1.0,121.0
632.19,2.0,114.0
632.39,3.0,116.0
632.59,4.0,111.0
632.79,5.0,113.0
633.0,6.0,112.0
633.2,7.0,111.0
633.4,8.0,112.0
633.6,9.0,110.0
633.8,10.0,110.0
634.0,11.0,110.0
634.21,12.0,110.0
634.41,13.0,107.0
634.61,14.0,107.0
634.81,15.0,106.0
635.01,16.0,108.0
635.21,17.0,106.0
635.41,18.0,106.0
635.62,19.0,107.0
635.82,20.0,105.0
636.02,21.0,106.0
636.22,22.0,105.0
636.42,23.0,103.0
636.62,24.0,105.0
636.83,25.0,104.0
637.03,26.0,104.0
637.23,27.0,104.0
637.43,28.0,104.0
637.63,29.0,100.0
637.84,30.0,104.0
638.04,31.0,105.0
638.24,32.0,103.0
638.44,33.0,102.0
638.64,34.0,102.0
638.84,35.0,104.0
639.04,36.0,104.0
639.25,37.0,100.0
639.45,38.0,104.0
639.65,39.0,101.0
639.85,40.0,99.0
640.05,41.0,101.0
640.25,42.0,98.0
640.46,43.0,101.0
640.66,44.0,100.0
640.86,45.0,101.0
641.06,46.0,106.0
641.26,47.0,108.0
641.46,48.0,115.0
641.67,49.0,121.0
641.87,50.0,126.0
642.07,51.0,134.0
642.27,52.0,147.0
642.47,53.0,155.0
642.67,54.0,156.0
642.88,55.0,183.0
643.08,56.0,215.0
643.28,57.0,208.0
643.48,58.0,8191.0
643.68,59.0,8191.0
643.89,60.0,8190.0
644.09,61.0,8191.0
644.29,62.0,8190.0
644.49,63.0,8190.0
644.69,64.0,8190.0
644.89,65.0,8191.0
645.09,66.0,8191.0
645.3,67.0,8190.0
645.5,68.0,8191.0
645.7,69.0,8191.0
645.9,70.0,8191.0
646.1,71.0,207.0
646.3,72.0,8190.0
646.51,73.0,151.0
646.71,74.0,155.0
646.91,75.0,127.0
647.11,76.0,151.0
647.31,77.0,139.0
647.52,78.0,136.0
647.72,79.0,132.0
647.92,80.0,123.0
648.12,81.0,125.0
648.32,82.0,128.0
648.52,83.0,121.0
648.72,84.0,104.0
648.93,85.0,124.0
649.13,86.0,125.0
649.33,87.0,110.0
649.53,88.0,109.0
649.73,89.0,119.0
649.93,90.0,144.0
650.14,91.0,146.0
650.34,90.0,154.0
650.54,89.0,130.0
650.74,88.0,130.0
650.94,87.0,129.0
651.15,86.0,121.0
651.35,85.0,124.0
651.55,84.0,121.0
651.75,83.0,126.0
651.95,82.0,117.0
652.15,81.0,116.0
652.35,80.0,123.0
652.56,79.0,139.0
652.76,78.0,127.0
652.96,77.0,156.0
653.16,76.0,161.0
653.36,75.0,146.0
653.56,74.0,155.0
653.77,73.0,8190.0
653.97,72.0,8190.0
654.17,71.0,8190.0
654.37,70.0,8190.0
654.57,69.0,8190.0
654.78,68.0,8191.0
654.98,67.0,8191.0
655.18,66.0,8191.0
655.38,65.0,8190.0
655.58,64.0,8191.0
655.78,63.0,8191.0
655.98,62.0,8191.0
656.19,61.0,8191.0
656.39,60.0,8191.0
656.59,59.0,8191.0
656.79,58.0,8190.0
656.99,57.0,269.0
657.2,56.0,210.0
657.4,55.0,173.0
657.6,54.0,158.0
657.8,53.0,153.0
658.0,52.0,138.0
658.2,51.0,131.0
658.41,50.0,126.0
658.61,49.0,119.0
658.81,48.0,117.0
659.01,47.0,107.0
659.21,46.0,108.0
659.41,45.0,103.0
659.61,44.0,98.0
659.82,43.0,101.0
660.02,42.0,101.0
660.22,41.0,99.0
660.42,40.0,100.0
660.62,39.0,102.0
660.83,38.0,103.0
661.03,37.0,106.0
661.23,36.0,104.0
661.43,35.0,102.0
661.63,34.0,102.0
661.83,33.0,103.0
662.03,32.0,103.0
662.24,31.0,103.0
662.44,30.0,103.0
662.64,29.0,104.0
662.84,28.0,104.0
663.04,27.0,102.0
663.24,26.0,104.0
663.45,25.0,105.0
663.65,24.0,104.0
663.85,23.0,101.0
664.05,22.0,104.0
664.25,21.0,105.0
664.46,20.0,107.0
664.66,19.0,107.0
664.86,18.0,108.0
665.06,17.0,108.0
665.26,16.0,108.0
665.46,15.0,112.0
665.66,14.0,110.0
665.87,13.0,109.0
666.07,12.0,110.0
666.27,11.0,112.0
666.47,10.0,110.0
666.67,9.0,112.0
666.87,8.0,112.0
667.08,7.0,113.0
667.28,6.0,113.0
667.48,5.0,111.0
667.68,4.0,115.0
667.88,3.0,114.0
668.08,2.0,117.0
668.28,1.0,120.0
668.49,0.0,122.0
668.69,-1.0,121.0
668.89,0.0,127.0
669.09,1.0,126.0
669.29,2.0,118.0
669.5,3.0,114.0
669.7,4.0,114.0
669.9,5.0,114.0
670.1,6.0,110.0
670.3,7.0,110.0
670.5,8.0,112.0
670.7,9.0,110.0
670.91,10.0,111.0
671.11,11.0,111.0
671.31,12.0,111.0
671.51,13.0,109.0
671.71,14.0,108.0
671.91,15.0,108.0
672.12,16.0,105.0
672.32,17.0,107.0
672.52,18.0,107.0
672.72,19.0,106.0
672.92,20.0,104.0
673.12,21.0,106.0
673.33,22.0,105.0
673.53,23.0,105.0
673.73,24.0,106.0
673.93,25.0,107.0
674.13,26.0,103.0
674.33,27.0,105.0
674.54,28.0,103.0
674.74,29.0,101.0
674.94,30.0,103.0
675.14,31.0,102.0
675.34,32.0,103.0
675.54,33.0,104.0
675.75,34.0,105.0
675.95,35.0,104.0
676.15,36.0,103.0
676.35,37.0,103.0
676.55,38.0,102.0
676.75,39.0,102.0
676.96,40.0,100.0
677.16,41.0,101.0
677.36,42.0,100.0
677.56,43.0,100.0
677.76,44.0,100.0
677.96,45.0,101.0
678.16,46.0,106.0
678.37,47.0,108.0
678.57,48.0,107.0
678.77,49.0,123.0
678.97,50.0,125.0
679.17,51.0,138.0
679.38,52.0,136.0
679.58,53.0,162.0
679.78,54.0,159.0
679.98,55.0,204.0
680.18,56.0,242.0
680.38,57.0,214.0
680.59,58.0,8191.0
680.79,59.0,685.0
680.99,60.0,8191.0
681.19,61.0,8191.0
681.39,62.0,8191.0
681.59,63.0,8191.0
681.79,64.0,8191.0
682.0,65.0,8191.0
682.2,66.0,8191.0
682.4,67.0,8191.0
682.6,68.0,8191.0
682.8,69.0,8190.0
683.01,70.0,242.0
683.21,71.0,8190.0
683.41,72.0,185.0
683.61,73.0,167.0
683.81,74.0,147.0
684.01,75.0,158.0
684.22,76.0,144.0
684.42,77.0,151.0
684.62,78.0,139.0
684.82,79.0,141.0
685.02,80.0,117.0
685.22,81.0,134.0
685.42,82.0,115.0
685.63,83.0,108.0
685.83,84.0,103.0
686.03,85.0,119.0
686.23,86.0,111.0
686.43,87.0,132.0
686.64,88.0,128.0
686.84,89.0,122.0
687.04,90.0,151.0
687.24,91.0,167.0
687.44,90.0,161.0
687.64,89.0,133.0
687.84,88.0,138.0
688.05,87.0,116.0
688.25,86.0,122.0
688.45,85.0,126.0
688.65,84.0,112.0
688.85,83.0,119.0
689.05,82.0,115.0
689.26,81.0,113.0
689.46,80.0,127.0
689.66,79.0,139.0
689.86,78.0,139.0
690.06,77.0,152.0
690.27,76.0,146.0
690.47,75.0,163.0
690.67,74.0,181.0
690.87,73.0,8190.0
691.07,72.0,211.0
691.27,71.0,8190.0
691.47,70.0,8191.0
691.68,69.0,8190.0
691.88,68.0,8190.0
692.08,67.0,8190.0
692.28,66.0,8190.0
692.48,65.0,8191.0
692.69,64.0,8191.0
692.89,63.0,8190.0
693.09,62.0,8190.0
693.29,61.0,8191.0
693.49,60.0,8191.0
693.69,59.0,8190.0
693.9,58.0,501.0
694.1,57.0,8190.0
694.3,56.0,219.0
694.5,55.0,186.0
694.7,54.0,168.0
694.9,53.0,149.0
695.11,52.0,141.0
695.31,51.0,133.0
695.51,50.0,124.0
695.71,49.0,118.0
695.91,48.0,116.0
696.11,47.0,108.0
696.32,46.0,103.0
696.52,45.0,103.0
696.72,44.0,100.0
696.92,43.0,97.0
697.12,42.0,99.0
697.32,41.0,101.0
697.53,40.0,99.0
697.73,39.0,103.0
697.93,38.0,104.0
698.13,37.0,102.0
698.33,36.0,104.0
698.53,35.0,104.0
698.73,34.0,102.0
698.94,33.0,102.0
699.14,32.0,103.0
699.34,31.0,102.0
699.54,30.0,106.0
699.74,29.0,102.0
699.95,28.0,105.0
700.15,27.0,104.0
700.35,26.0,101.0
700.55,25.0,102.0
700.75,24.0,105.0
700.95,23.0,105.0
701.16,22.0,107.0
701.36,21.0,104.0
701.56,20.0,106.0
701.76,19.0,103.0
701.96,18.0,108.0
702.16,17.0,108.0
702.36,16.0,106.0
702.57,15.0,108.0
702.77,14.0,107.0
702.97,13.0,109.0
703.17,12.0,110.0
703.37,11.0,109.0
703.58,10.0,112.0
703.78,9.0,111.0
703.98,8.0,108.0
704.18,7.0,109.0
704.38,6.0,111.0
704.58,5.0,114.0
704.78,4.0,112.0
704.99,3.0,115.0
705.19,2.0,117.0
705.39,1.0,119.0
705.59,0.0,123.0
705.79,-1.0,122.0
705.99,0.0,122.0
706.2,1.0,122.0
706.4,2.0,115.0
706.6,3.0,114.0
706.8,4.0,113.0
707.0,5.0,113.0
707.2,6.0,110.0
707.41,7.0,110.0
707.61,8.0,111.0
707.81,9.0,111.0
708.01,10.0,108.0
708.21,11.0,109.0
708.41,12.0,111.0
708.61,13.0,109.0
708.82,14.0,108.0
709.02,15.0,107.0
709.22,16.0,107.0
709.42,17.0,109.0
709.62,18.0,107.0
709.83,19.0,107.0
710.03,20.0,104.0
710.23,21.0,107.0
710.43,22.0,103.0
710.63,23.0,104.0
710.83,24.0,104.0
711.03,25.0,103.0
711.24,26.0,102.0
711.44,27.0,105.0
711.64,28.0,103.0
711.84,29.0,103.0
712.04,30.0,103.0
712.25,31.0,103.0
712.45,32.0,104.0
712.65,33.0,105.0
712.85,34.0,103.0
713.05,35.0,102.0
713.25,36.0,104.0
713.46,37.0,101.0
713.66,38.0,102.0
713.86,39.0,98.0
714.06,40.0,99.0
714.26,41.0,98.0
714.46,42.0,101.0
714.66,43.0,100.0
714.87,44.0,103.0
715.07,45.0,103.0
715.27,46.0,106.0
715.47,47.0,110.0
715.67,48.0,116.0
715.88,49.0,120.0
716.08,50.0,130.0
716.28,51.0,134.0
716.48,52.0,145.0
716.68,53.0,153.0
716.88,54.0,164.0
717.08,55.0,175.0
717.29,56.0,242.0
717.49,57.0,8190.0
717.69,58.0,8190.0
717.89,59.0,517.0
718.09,60.0,8191.0
718.29,61.0,8191.0
718.5,62.0,1085.0
718.7,63.0,8190.0
718.9,64.0,8191.0
719.1,65.0,8190.0
719.3,66.0,8191.0
719.51,67.0,8191.0
719.71,68.0,528.0
719.91,69.0,8191.0
720.11,70.0,8190.0
720.31,71.0,8190.0
720.51,72.0,197.0
720.71,73.0,185.0
720.92,74.0,160.0
721.12,75.0,141.0
721.32,76.0,159.0
721.52,77.0,146.0
721.72,78.0,124.0
721.92,79.0,120.0
722.13,80.0,128.0
722.33,81.0,131.0
722.53,82.0,113.0
722.73,83.0,124.0
722.93,84.0,107.0
723.14,85.0,117.0
723.34,86.0,115.0
723.54,87.0,140.0
723.74,88.0,122.0
723.94,89.0,131.0
724.14,90.0,140.0
724.34,91.0,152.0
724.55,90.0,169.0
724.75,89.0,121.0
724.95,88.0,128.0
725.15,87.0,121.0
725.35,86.0,116.0
725.55,85.0,120.0
725.76,84.0,121.0
725.96,83.0,110.0
726.16,82.0,125.0
726.36,81.0,121.0
726.56,80.0,121.0
726.76,79.0,132.0
726.97,78.0,149.0
727.17,77.0,150.0
727.37,76.0,147.0
727.57,75.0,157.0
727.77,74.0,180.0
727.97,73.0,177.0
728.18,72.0,8190.0
728.38,71.0,8190.0
728.58,70.0,8190.0
728.78,69.0,8191.0
728.98,68.0,8191.0
729.19,67.0,8191.0
729.39,66.0,8190.0
729.59,65.0,8191.0
729.79,64.0,8190.0
729.99,63.0,8190.0
730.19,62.0,8191.0
730.4,61.0,8190.0
730.6,60.0,8191.0
730.8,59.0,8190.0
731.0,58.0,8190.0
731.2,57.0,8190.0
731.4,56.0,210.0
731.6,55.0,178.0
731.81,54.0,159.0
732.01,53.0,149.0
732.21,52.0,148.0
732.41,51.0,132.0
732.61,50.0,133.0
732.82,49.0,115.0
733.02,48.0,116.0
733.22,47.0,109.0
733.42,46.0,103.0
733.62,45.0,103.0
733.82,44.0,100.0
734.02,43.0,98.0
734.23,42.0,98.0
734.43,41.0,100.0
734.63,40.0,101.0
734.83,39.0,100.0
735.03,38.0,103.0
735.23,37.0,103.0
735.44,36.0,104.0
735.64,35.0,102.0
735.84,34.0,103.0
736.04,33.0,101.0
736.24,32.0,105.0
736.44,31.0,105.0
736.65,30.0,103.0
736.85,29.0,104.0
737.05,28.0,103.0
737.25,27.0,103.0
737.45,26.0,104.0
737.65,25.0,103.0
737.86,24.0,106.0
738.06,23.0,105.0
738.26,22.0,107.0
738.46,21.0,106.0
738.66,20.0,103.0
738.86,19.0,109.0
739.07,18.0,108.0
739.27,17.0,108.0
739.47,16.0,108.0
739.67,15.0,109.0
739.87,14.0,109.0
740.07,13.0,109.0
740.28,12.0,110.0
740.48,11.0,113.0
740.68,10.0,111.0
740.88,9.0,111.0
741.08,8.0,109.0
741.28,7.0,112.0
741.48,6.0,113.0
741.69,5.0,114.0
741.89,4.0,112.0
742.09,3.0,116.0
742.29,2.0,117.0
742.49,1.0,122.0
742.7,0.0,124.0
742.9,-1.0,124.0
743.1,0.0,125.0
743.3,1.0,124.0
743.5,2.0,117.0
743.7,3.0,115.0
743.91,4.0,112.0
744.11,5.0,112.0
744.31,6.0,112.0
744.51,7.0,109.0
744.71,8.0,111.0
744.91,9.0,112.0
745.11,10.0,110.0
745.32,11.0,111.0
745.52,12.0,108.0
745.72,13.0,108.0
745.92,14.0,108.0
746.12,15.0,110.0
746.32,16.0,108.0
746.53,17.0,109.0
746.73,18.0,107.0
746.93,19.0,107.0
747.13,20.0,104.0
747.33,21.0,106.0
747.53,22.0,107.0
747.74,23.0,105.0
747.94,24.0,105.0
748.14,25.0,103.0
748.34,26.0,103.0
748.54,27.0,104.0
748.74,28.0,104.0
748.95,29.0,105.0
749.15,30.0,102.0
749.35,31.0,103.0
749.55,32.0,104.0
749.75,33.0,102.0
749.95,34.0,104.0
750.16,35.0,104.0
750.36,36.0,102.0
750.56,37.0,102.0
750.76,38.0,103.0
750.96,39.0,101.0
751.16,40.0,101.0
751.37,41.0,99.0
751.57,42.0,101.0
751.77,43.0,99.0
751.97,44.0,102.0
752.17,45.0,104.0
752.37,46.0,107.0
752.58,47.0,109.0
752.78,48.0,113.0
752.98,49.0,123.0
753.18,50.0,129.0
753.38,51.0,138.0
753.58,52.0,147.0
753.78,53.0,160.0
753.99,54.0,157.0
754.19,55.0,173.0
754.39,56.0,215.0
754.59,57.0,236.0
754.79,58.0,923.0
755.0,59.0,8191.0
755.2,60.0,8190.0
755.4,61.0,8191.0
755.6,62.0,8191.0
755.8,63.0,8190.0
756.0,64.0,8190.0
756.21,65.0,8191.0
756.41,66.0,8191.0
756.61,67.0,8191.0
756.81,68.0,8191.0
757.01,69.0,8191.0
757.21,70.0,8190.0
757.41,71.0,8190.0
757.62,72.0,8190.0
757.82,73.0,208.0
758.02,74.0,171.0
758.22,75.0,150.0
758.42,76.0,146.0
758.63,77.0,137.0
758.83,78.0,136.0
759.03,79.0,138.0
759.23,80.0,124.0
759.43,81.0,134.0
759.63,82.0,119.0
759.84,83.0,136.0
760.04,84.0,105.0
760.24,85.0,129.0
760.44,86.0,132.0
760.64,87.0,112.0
760.84,88.0,129.0
761.05,89.0,124.0
761.25,90.0,154.0
761.45,91.0,154.0
761.65,90.0,147.0
761.85,89.0,133.0
762.05,88.0,127.0
762.26,87.0,128.0
762.46,86.0,127.0
762.66,85.0,106.0
762.86,84.0,117.0
763.06,83.0,111.0
763.26,82.0,130.0
763.47,81.0,118.0
763.67,80.0,130.0
763.87,79.0,133.0
764.07,78.0,150.0
764.27,77.0,146.0
764.47,76.0,152.0
764.68,75.0,172.0
764.88,74.0,159.0
765.08,73.0,164.0
765.28,72.0,242.0
765.48,71.0,8190.0
765.68,70.0,8191.0
765.89,69.0,8191.0
766.09,68.0,8191.0
766.29,67.0,8190.0
766.49,66.0,8191.0
766.69,65.0,8191.0
766.89,64.0,8191.0
767.09,63.0,8191.0
767.3,62.0,8191.0
767.5,61.0,8191.0
767.7,60.0,8191.0
767.9,59.0,8190.0
768.1,58.0,8190.0
768.31,57.0,8190.0
768.51,56.0,207.0
768.71,55.0,179.0
768.91,54.0,164.0
769.11,53.0,149.0
769.31,52.0,143.0
769.52,51.0,133.0
769.72,50.0,125.0
769.92,49.0,119.0
770.12,48.0,113.0
770.32,47.0,108.0
770.52,46.0,103.0
770.72,45.0,100.0
770.93,44.0,101.0
771.13,43.0,100.0
771.33,42.0,100.0
771.53,41.0,99.0
771.73,40.0,101.0
771.94,39.0,104.0
772.14,38.0,101.0
772.34,37.0,105.0
772.54,36.0,103.0
772.74,35.0,105.0
772.94,34.0,102.0
773.15,33.0,102.0
773.35,32.0,103.0
773.55,31.0,102.0
773.75,30.0,102.0
773.95,29.0,105.0
774.15,28.0,101.0
774.35,27.0,105.0
774.56,26.0,105.0
774.76,25.0,104.0
774.96,24.0,105.0
775.16,23.0,104.0
775.36,22.0,107.0
775.57,21.0,105.0
775.77,20.0,106.0
775.97,19.0,106.0
776.17,18.0,104.0
776.37,17.0,108.0
776.57,16.0,107.0
776.78,15.0,108.0
776.98,14.0,109.0
777.18,13.0,110.0
777.38,12.0,109.0
777.58,11.0,111.0
777.78,10.0,108.0
777.99,9.0,109.0
778.19,8.0,110.0
778.39,7.0,110.0
778.59,6.0,108.0
778.79,5.0,113.0
778.99,4.0,114.0
779.2,3.0,115.0
779.4,2.0,117.0
779.6,1.0,120.0
779.8,0.0,123.0
780.0,-1.0,121.0
780.2,0.0,123.0
780.4,1.0,119.0
780.61,2.0,114.0
780.81,3.0,116.0
781.01,4.0,111.0
781.21,5.0,112.0
781.41,6.0,111.0
781.61,7.0,109.0
781.82,8.0,108.0
782.02,9.0,109.0
782.22,10.0,110.0
782.42,11.0,111.0
782.62,12.0,110.0
782.82,13.0,110.0
783.03,14.0,106.0
783.23,15.0,106.0
783.43,16.0,105.0
783.63,17.0,105.0
783.83,18.0,106.0
784.03,19.0,105.0
784.23,20.0,107.0
784.44,21.0,106.0
784.64,22.0,104.0
784.84,23.0,103.0
785.04,24.0,104.0
785.24,25.0,104.0
785.45,26.0,105.0
785.65,27.0,102.0
785.85,28.0,103.0
786.05,29.0,102.0
786.25,30.0,102.0
786.45,31.0,104.0
786.66,32.0,105.0
786.86,33.0,102.0
787.06,34.0,101.0
787.26,35.0,105.0
787.46,36.0,104.0
787.66,37.0,102.0
787.86,38.0,102.0
788.07,39.0,99.0
788.27,40.0,100.0
788.47,41.0,100.0
788.67,42.0,100.0
788.87,43.0,100.0
789.07,44.0,103.0
789.28,45.0,100.0
789.48,46.0,108.0
789.68,47.0,108.0
789.88,48.0,114.0
790.08,49.0,121.0
790.28,50.0,128.0
790.49,51.0,137.0
790.69,52.0,145.0
790.89,53.0,152.0
791.09,54.0,161.0
791.29,55.0,164.0
791.49,56.0,212.0
791.7,57.0,237.0
791.9,58.0,8191.0
792.1,59.0,8190.0
792.3,60.0,8191.0
792.5,61.0,8191.0
792.71,62.0,8191.0
792.91,63.0,8191.0
793.11,64.0,8190.0
793.31,65.0,8191.0
793.51,66.0,8191.0
793.71,67.0,8190.0
793.91,68.0,8190.0
794.12,69.0,8190.0
794.32,70.0,8191.0
794.52,71.0,197.0
794.72,72.0,8190.0
794.92,73.0,174.0
795.13,74.0,165.0
795.33,75.0,162.0
795.53,76.0,146.0
795.73,77.0,149.0
795.93,78.0,127.0
796.13,79.0,117.0
796.34,80.0,108.0
796.54,81.0,112.0
796.74,82.0,124.0
796.94,83.0,110.0
797.14,84.0,125.0
797.34,85.0,109.0
797.54,86.0,137.0
797.75,87.0,124.0
797.95,88.0,109.0
798.15,89.0,123.0
798.35,90.0,150.0
798.55,91.0,158.0
798.76,90.0,153.0
798.96,89.0,125.0
799.16,88.0,127.0
799.36,87.0,124.0
799.56,86.0,129.0
799.76,85.0,130.0
799.97,84.0,121.0
800.17,83.0,122.0
800.37,82.0,117.0
800.57,81.0,114.0
800.77,80.0,132.0
800.97,79.0,130.0
801.17,78.0,149.0
801.38,77.0,145.0
801.58,76.0,148.0
801.78,75.0,171.0
801.98,74.0,164.0
802.18,73.0,177.0
802.38,72.0,169.0
802.59,71.0,8191.0
802.79,70.0,8191.0
802.99,69.0,8191.0
803.19,68.0,560.0
803.39,67.0,8191.0
803.59,66.0,8191.0
803.8,65.0,8191.0
804.0,64.0,8190.0
804.2,63.0,8191.0
804.4,62.0,8191.0
804.6,61.0,1226.0
804.8,60.0,8191.0
805.01,59.0,8190.0
805.21,58.0,8190.0
805.41,57.0,453.0
805.61,56.0,195.0
805.81,55.0,173.0
806.02,54.0,163.0
806.22,53.0,147.0
806.42,52.0,144.0
806.62,51.0,134.0
806.82,50.0,127.0
807.02,49.0,118.0
807.22,48.0,116.0
807.43,47.0,108.0
807.63,46.0,101.0
807.83,45.0,101.0
808.03,44.0,100.0
808.23,43.0,100.0
808.44,42.0,99.0
808.64,41.0,98.0
808.84,40.0,98.0
809.04,39.0,100.0
809.24,38.0,102.0
809.44,37.0,104.0
809.65,36.0,103.0
809.85,35.0,107.0
810.05,34.0,102.0
810.25,33.0,104.0
810.45,32.0,101.0
810.65,31.0,103.0
810.85,30.0,105.0
811.06,29.0,103.0
811.26,28.0,106.0
811.46,27.0,104.0
811.66,26.0,104.0
811.86,25.0,104.0
812.06,24.0,106.0
812.27,23.0,106.0
812.47,22.0,104.0
812.67,21.0,106.0
812.87,20.0,105.0
813.07,19.0,107.0
813.28,18.0,106.0
813.48,17.0,106.0
813.68,16.0,107.0
813.88,15.0,108.0
814.08,14.0,108.0
814.28,13.0,108.0
814.48,12.0,111.0
814.69,11.0,108.0
814.89,10.0,110.0
815.09,9.0,110.0
815.29,8.0,110.0
815.49,7.0,110.0
815.69,6.0,110.0
815.9,5.0,111.0
816.1,4.0,114.0
816.3,3.0,116.0
816.5,2.0,118.0
816.7,1.0,122.0
816.9,0.0,123.0
817.1,-1.0,121.0
817.31,0.0,120.0
817.51,1.0,125.0
817.71,2.0,114.0
817.91,3.0,115.0
818.11,4.0,112.0
818.32,5.0,111.0
818.52,6.0,112.0
818.72,7.0,111.0
818.92,8.0,112.0
819.12,9.0,108.0
819.32,10.0,109.0
819.52,11.0,108.0
819.73,12.0,110.0
819.93,13.0,108.0
820.13,14.0,108.0
820.33,15.0,108.0
820.53,16.0,107.0
820.73,17.0,107.0
820.94,18.0,108.0
821.14,19.0,107.0
821.34,20.0,104.0
821.54,21.0,107.0
821.74,22.0,104.0
821.94,23.0,103.0
822.15,24.0,104.0
822.35,25.0,105.0
822.55,26.0,103.0
822.75,27.0,103.0
822.95,28.0,107.0
823.15,29.0,105.0
823.36,30.0,102.0
823.56,31.0,103.0
823.76,32.0,104.0
823.96,33.0,104.0
824.16,34.0,102.0
824.36,35.0,101.0
824.57,36.0,102.0
824.77,37.0,101.0
824.97,38.0,99.0
825.17,39.0,100.0
825.37,40.0,100.0
825.57,41.0,102.0
825.78,42.0,97.0
825.98,43.0,100.0
826.18,44.0,103.0
826.38,45.0,101.0
826.58,46.0,104.0
826.78,47.0,107.0
826.98,48.0,115.0
827.19,49.0,114.0
827.39,50.0,131.0
827.59,51.0,133.0
827.79,52.0,146.0
827.99,53.0,150.0
828.2,54.0,154.0
828.4,55.0,180.0
828.6,56.0,207.0
828.8,57.0,215.0
829.0,58.0,8190.0
829.2,59.0,8191.0
829.41,60.0,8191.0
829.61,61.0,8191.0
829.81,62.0,8190.0
830.01,63.0,8190.0
830.21,64.0,8190.0
830.41,65.0,8191.0
830.62,66.0,8191.0
830.82,67.0,8190.0
831.02,68.0,8191.0
831.22,69.0,8191.0
831.42,70.0,8191.0
831.62,71.0,8190.0
831.83,72.0,172.0
832.03,73.0,162.0
832.23,74.0,170.0
832.43,75.0,158.0
832.63,76.0,138.0
832.83,77.0,155.0
833.04,78.0,136.0
833.24,79.0,135.0
833.44,80.0,131.0
833.64,81.0,117.0
833.84,82.0,125.0
834.04,83.0,115.0
834.25,84.0,115.0
834.45,85.0,120.0
834.65,86.0,123.0
834.85,87.0,120.0
835.05,88.0,133.0
835.25,89.0,130.0
835.46,90.0,138.0
835.66,91.0,151.0
835.86,90.0,158.0
836.06,89.0,132.0
836.26,88.0,134.0
836.46,87.0,121.0
836.67,86.0,126.0
836.87,85.0,116.0
837.07,84.0,104.0
837.27,83.0,115.0
837.47,82.0,112.0
837.67,81.0,118.0
837.88,80.0,116.0
838.08,79.0,128.0
838.28,78.0,147.0
838.48,77.0,151.0
838.68,76.0,130.0
838.88,75.0,151.0
839.09,74.0,184.0
839.29,73.0,8190.0
839.49,72.0,8190.0
839.69,71.0,181.0
